Title,Channel,URL
"Video: In-Depth: Bitcoin reaches all time high as Donald Trump prepares to return to White House","FOX23 News Tulsa","https://www.youtube.com/watch?v=QslSAiUrJbw"
"Bitcoin reaches a milestone; insurer to limit anesthesia coverage","KTLA 5","https://www.youtube.com/watch?v=ATFEe-VQt6A"
"Bitcoin reaches a milestone; insurer to limit anesthesia coverage","KTLA 5","https://www.youtube.com/watch?v=ATFEe-VQt6A"
"Bitcoin Hits $100,000 – Central Banks May Have to Start Buying It, Says Trace Mayer (Preview)","Financial Sense","https://www.youtube.com/watch?v=Us64ezFXvTs"
"Bitcoin Hits $100,000 – Central Banks May Have to Start Buying It, Says Trace Mayer (Preview)","Financial Sense","https://www.youtube.com/watch?v=Us64ezFXvTs"
"Bitcoin value surpasses $100K","KCENNews","https://www.youtube.com/watch?v=1sEFh9LVNlE"
"Bitcoin value surpasses $100K","KCENNews","https://www.youtube.com/watch?v=1sEFh9LVNlE"
"Hawaii embraces cryptocurrency as Bitcoin hits another record high","Hawaii News Now","https://www.youtube.com/watch?v=AP9NiSKNv9Q"
"Hawaii embraces cryptocurrency as Bitcoin hits another record high","Hawaii News Now","https://www.youtube.com/watch?v=AP9NiSKNv9Q"
"Bitcoin surpassing $100,000 price an ""enormous inflection point,"" says Coinbase executive","CBS News","https://www.youtube.com/watch?v=v37uoJwdTVU"
"Bitcoin surpassing $100,000 price an ""enormous inflection point,"" says Coinbase executive","CBS News","https://www.youtube.com/watch?v=v37uoJwdTVU"
"Bitcoin hits new peak at $100,000","KTVB","https://www.youtube.com/watch?v=rpap0MhUwVU"
"Bitcoin hits new peak at $100,000","KTVB","https://www.youtube.com/watch?v=rpap0MhUwVU"
"Bitcoin rally lifts Solana, Coinbase, and other crypto plays","Yahoo Finance","https://www.youtube.com/watch?v=XgVxm2YsEow"
"Bitcoin rally lifts Solana, Coinbase, and other crypto plays","Yahoo Finance","https://www.youtube.com/watch?v=XgVxm2YsEow"
"Price of bitcoin soars to $100,000 for the first time ever","ABC News","https://www.youtube.com/watch?v=qPYbPbVIhdk"
"Price of bitcoin soars to $100,000 for the first time ever","ABC News","https://www.youtube.com/watch?v=qPYbPbVIhdk"
"Bitcoin Soars Past $100,000 on Trump’s Pro-Crypto Pick for SEC Head | Bloomberg Businessweek","Bloomberg Podcasts","https://www.youtube.com/watch?v=aekNoL1Ul8Y"
"Bitcoin Soars Past $100,000 on Trump’s Pro-Crypto Pick for SEC Head | Bloomberg Businessweek","Bloomberg Podcasts","https://www.youtube.com/watch?v=aekNoL1Ul8Y"
"Bitcoin's rise fueled by a 'rejection of elites,’ analyst says | REUTERS","Reuters","https://www.youtube.com/watch?v=NnUs48bcsmg"
"Bitcoin's rise fueled by a 'rejection of elites,’ analyst says | REUTERS","Reuters","https://www.youtube.com/watch?v=NnUs48bcsmg"
"Warning from FBI to iPhone and Android phone users","ABC News","https://www.youtube.com/watch?v=xUuzBGkHakE"
"Warning from FBI to iPhone and Android phone users","ABC News","https://www.youtube.com/watch?v=xUuzBGkHakE"
"s","Western Mass News","https://www.youtube.com/watch?v=3xG-UH-gS5o"
"s","Western Mass News","https://www.youtube.com/watch?v=3xG-UH-gS5o"
"WHAT THE TECH? Safe ways to text after cyber security attack prompts FBI warning","Local 3 News","https://www.youtube.com/watch?v=96irUk3CEKE"
"WHAT THE TECH? Safe ways to text after cyber security attack prompts FBI warning","Local 3 News","https://www.youtube.com/watch?v=96irUk3CEKE"
"Why the FBI wants you to stop texting without encryption |","NBC10 Boston","https://www.youtube.com/watch?v=8KRD5ndahy4"
"Why the FBI wants you to stop texting without encryption |","NBC10 Boston","https://www.youtube.com/watch?v=8KRD5ndahy4"
"FBI says that texts between Apple and Android devices could be intercepted by foreign hackers","WUSA9","https://www.youtube.com/watch?v=foPCROBYp6o"
"FBI says that texts between Apple and Android devices could be intercepted by foreign hackers","WUSA9","https://www.youtube.com/watch?v=foPCROBYp6o"
"Americans urged to use encrypted apps after alleged Chinese texting hack","Scripps News","https://www.youtube.com/watch?v=WD2sWgTEyNA"
"Americans urged to use encrypted apps after alleged Chinese texting hack","Scripps News","https://www.youtube.com/watch?v=WD2sWgTEyNA"
"Protecting your data from China cyber attack","KREM 2 News","https://www.youtube.com/watch?v=2idre0UZyqg"
"Protecting your data from China cyber attack","KREM 2 News","https://www.youtube.com/watch?v=2idre0UZyqg"
"Active espionage by China's government, U.S. officials say","5NEWS","https://www.youtube.com/watch?v=EsArmWcmt-4"
"Active espionage by China's government, U.S. officials say","5NEWS","https://www.youtube.com/watch?v=EsArmWcmt-4"
"FBI warns that Chinese hackers breached several telecommunications companies","KHOU 11","https://www.youtube.com/watch?v=PtFbBnm3-k0"
"FBI warns that Chinese hackers breached several telecommunications companies","KHOU 11","https://www.youtube.com/watch?v=PtFbBnm3-k0"
"What the Tech: Keep safe with encrypted messaging apps","Texomashomepage.com - KFDX, KJTL","https://www.youtube.com/watch?v=WpRPCyXQWok"
"What the Tech: Keep safe with encrypted messaging apps","Texomashomepage.com - KFDX, KJTL","https://www.youtube.com/watch?v=WpRPCyXQWok"
"US officials urge Americans to use encrypted apps amid unprecedented cyberattack","Hawaii News Now","https://www.youtube.com/watch?v=YX53l-E1PAs"
"US officials urge Americans to use encrypted apps amid unprecedented cyberattack","Hawaii News Now","https://www.youtube.com/watch?v=YX53l-E1PAs"
"Experts urge consumers to use encryption amid Chinese hack","NBC 10 WJAR","https://www.youtube.com/watch?v=kGLIUbvTG4A"
"Experts urge consumers to use encryption amid Chinese hack","NBC 10 WJAR","https://www.youtube.com/watch?v=kGLIUbvTG4A"
"OPEC+ Delays Revival of Its Oil Production","Bloomberg Television","https://www.youtube.com/watch?v=02Uei1qClmU"
"OPEC+ Delays Revival of Its Oil Production","Bloomberg Television","https://www.youtube.com/watch?v=02Uei1qClmU"
"Market Insight: Production increase delays will keep oil prices stable | REUTERS","Reuters","https://www.youtube.com/watch?v=haRH77q_8tQ"
"Market Insight: Production increase delays will keep oil prices stable | REUTERS","Reuters","https://www.youtube.com/watch?v=haRH77q_8tQ"
"Gas Prices Could Stay Low, As OPEC+ Delays Output Hike","Bloomberg Podcasts","https://www.youtube.com/watch?v=rK82wptwOzk"
"Gas Prices Could Stay Low, As OPEC+ Delays Output Hike","Bloomberg Podcasts","https://www.youtube.com/watch?v=rK82wptwOzk"
"Market Insight: Not the right time to 'boost' oil production | REUTERS","Reuters","https://www.youtube.com/watch?v=wMc1x2W6yhU"
"Market Insight: Not the right time to 'boost' oil production | REUTERS","Reuters","https://www.youtube.com/watch?v=wMc1x2W6yhU"
"Jaguar unveils new 'Type 00' EV concept car","Yahoo Finance","https://www.youtube.com/watch?v=d3FyMYyzZwg"
"Jaguar unveils new 'Type 00' EV concept car","Yahoo Finance","https://www.youtube.com/watch?v=d3FyMYyzZwg"
"‘WOKE AT ITS FINEST’: ‘Gutfeld!’ reacts to Jaguar’s new concept car","Fox News","https://www.youtube.com/watch?v=V0jaOAgfAYc"
"‘WOKE AT ITS FINEST’: ‘Gutfeld!’ reacts to Jaguar’s new concept car","Fox News","https://www.youtube.com/watch?v=V0jaOAgfAYc"
"How Jaguar Plans To Save Itself","CNBC","https://www.youtube.com/watch?v=inCPDI_HqOw"
"How Jaguar Plans To Save Itself","CNBC","https://www.youtube.com/watch?v=inCPDI_HqOw"
"Jaguar showcases new unique vehicle design | USA TODAY","USA TODAY","https://www.youtube.com/watch?v=Mc3rwviAmLk"
"Jaguar showcases new unique vehicle design | USA TODAY","USA TODAY","https://www.youtube.com/watch?v=Mc3rwviAmLk"
"Jaguar Responds to Blowback After Man-in-a-Dress Car Ad","Bloomberg Television","https://www.youtube.com/watch?v=aMzKOP1B4ac"
"Jaguar Responds to Blowback After Man-in-a-Dress Car Ad","Bloomberg Television","https://www.youtube.com/watch?v=aMzKOP1B4ac"
"What’s going on with Jaguar? | Car-Pinionated 68","FOX 61","https://www.youtube.com/watch?v=P-zkDNYOZqM"
"What’s going on with Jaguar? | Car-Pinionated 68","FOX 61","https://www.youtube.com/watch?v=P-zkDNYOZqM"
"S&P 500 closes at record high after strong US jobs report","TODAY","https://www.youtube.com/watch?v=bi-2xbircnc"
"S&P 500 closes at record high after strong US jobs report","TODAY","https://www.youtube.com/watch?v=bi-2xbircnc"
"Stocks Extend Record-Breaking Run After Jobs Data | Bloomberg: The Close 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=qYF87eZTyto"
"Stocks Extend Record-Breaking Run After Jobs Data | Bloomberg: The Close 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=qYF87eZTyto"
"S&P, Nasdaq hit record closing highs; data supports rate cut view | REUTERS","Reuters","https://www.youtube.com/watch?v=J1HNykoilWw"
"S&P, Nasdaq hit record closing highs; data supports rate cut view | REUTERS","Reuters","https://www.youtube.com/watch?v=J1HNykoilWw"
"'Fast Money' traders talk market strength ahead of November jobs report","CNBC Television","https://www.youtube.com/watch?v=ee7BGg8k6wM"
"'Fast Money' traders talk market strength ahead of November jobs report","CNBC Television","https://www.youtube.com/watch?v=ee7BGg8k6wM"
"Mixed Jobs Data Fuels Dec. Fed Cut Bets | Bloomberg Real Yield 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=O5VpLVBbEpc"
"Mixed Jobs Data Fuels Dec. Fed Cut Bets | Bloomberg Real Yield 12/06/2024","Bloomberg Television","https://www.youtube.com/watch?v=O5VpLVBbEpc"
"Major stock Indexes dip ahead of jobs report | REUTERS","Reuters","https://www.youtube.com/watch?v=GOMJhAacIbo"
"Major stock Indexes dip ahead of jobs report | REUTERS","Reuters","https://www.youtube.com/watch?v=GOMJhAacIbo"
"This Jobs Data for Day Traders, Not Macro | Markets in 3 Minutes","Bloomberg Television","https://www.youtube.com/watch?v=KlEBMHlzJQw"
"This Jobs Data for Day Traders, Not Macro | Markets in 3 Minutes","Bloomberg Television","https://www.youtube.com/watch?v=KlEBMHlzJQw"
"Ahead of Jobs Report Stocks Flounder | Bloomberg: The Close 12/05/2024","Bloomberg Television","https://www.youtube.com/watch?v=N_tJJZ8q9jg"
"Ahead of Jobs Report Stocks Flounder | Bloomberg: The Close 12/05/2024","Bloomberg Television","https://www.youtube.com/watch?v=N_tJJZ8q9jg"
"China protests US expansion of list of Chinese technology companies under export controls","AP Archive","https://www.youtube.com/watch?v=aMtddX2l-aQ"
"China protests US expansion of list of Chinese technology companies under export controls","AP Archive","https://www.youtube.com/watch?v=aMtddX2l-aQ"
"The potential impact of China's ban on precious metal exports to the U.S.","KING 5 Seattle","https://www.youtube.com/watch?v=ETDtSbHmiwg"
"The potential impact of China's ban on precious metal exports to the U.S.","KING 5 Seattle","https://www.youtube.com/watch?v=ETDtSbHmiwg"
"US chips are 'no longer safe,' Chinese industry bodies | REUTERS","Reuters","https://www.youtube.com/watch?v=lcNOEHfmwco"
"US chips are 'no longer safe,' Chinese industry bodies | REUTERS","Reuters","https://www.youtube.com/watch?v=lcNOEHfmwco"
"China steps up trade tensions with U.S.","CNBC Television","https://www.youtube.com/watch?v=mldyri8qejc"
"China steps up trade tensions with U.S.","CNBC Television","https://www.youtube.com/watch?v=mldyri8qejc"
"China Steps Up Trade Tensions With US","Bloomberg Television","https://www.youtube.com/watch?v=TxhCXNaelhw"
"China Steps Up Trade Tensions With US","Bloomberg Television","https://www.youtube.com/watch?v=TxhCXNaelhw"
"China Retaliates Against US Tech Curbs","Bloomberg Podcasts","https://www.youtube.com/watch?v=uEdM5a7K5bs"
"China Retaliates Against US Tech Curbs","Bloomberg Podcasts","https://www.youtube.com/watch?v=uEdM5a7K5bs"
"China bans exports to U.S. of some materials for electronics manufacturing","CBS News","https://www.youtube.com/watch?v=ldz08vg5XB4"
"China bans exports to U.S. of some materials for electronics manufacturing","CBS News","https://www.youtube.com/watch?v=ldz08vg5XB4"
"Tariffs could raise electronics prices by up to 26%","KING 5 Seattle","https://www.youtube.com/watch?v=K6reWn4YGxM"
"Tariffs could raise electronics prices by up to 26%","KING 5 Seattle","https://www.youtube.com/watch?v=K6reWn4YGxM"
"US clampdown on China's chips hits semiconductor toolmakers | REUTERS","Reuters","https://www.youtube.com/watch?v=sFRfBmAoqy8"
"US clampdown on China's chips hits semiconductor toolmakers | REUTERS","Reuters","https://www.youtube.com/watch?v=sFRfBmAoqy8"
"New Curbs on China's AI, Chip Access in Focus | Bloomberg: The Asia Trade 12/03/24","Bloomberg Television","https://www.youtube.com/watch?v=9S1gabk5Oms"
"New Curbs on China's AI, Chip Access in Focus | Bloomberg: The Asia Trade 12/03/24","Bloomberg Television","https://www.youtube.com/watch?v=9S1gabk5Oms"
"New court ruling impacts small businesses, including in Arizona","Arizona’s Family (3TV / CBS 5)","https://www.youtube.com/watch?v=Q3ZGfwMSx4Q"
"New court ruling impacts small businesses, including in Arizona","Arizona’s Family (3TV / CBS 5)","https://www.youtube.com/watch?v=Q3ZGfwMSx4Q"
"Arkansas congressman praises court's halt on Corporate Transparency Act deadline","KATVchannel7","https://www.youtube.com/watch?v=iu89btdrPww"
"Arkansas congressman praises court's halt on Corporate Transparency Act deadline","KATVchannel7","https://www.youtube.com/watch?v=iu89btdrPww"
"Intel announces two new board members to strengthen semiconductor experience","CNBC Television","https://www.youtube.com/watch?v=7frYd570q7I"
"Intel announces two new board members to strengthen semiconductor experience","CNBC Television","https://www.youtube.com/watch?v=7frYd570q7I"
"What's next for Intel's foundry business?","Yahoo Finance","https://www.youtube.com/watch?v=P2oAaaoq574"
"What's next for Intel's foundry business?","Yahoo Finance","https://www.youtube.com/watch?v=P2oAaaoq574"
"Intel CEO Gelsinger retires, a departure that underscores the company’s turmoil","KPTV FOX 12 | Local news, weather Portland, Oregon","https://www.youtube.com/watch?v=Au4w-VRZRNA"
"Intel CEO Gelsinger retires, a departure that underscores the company’s turmoil","KPTV FOX 12 | Local news, weather Portland, Oregon","https://www.youtube.com/watch?v=Au4w-VRZRNA"
"Intel CEO resigns after 3 years","WFAA","https://www.youtube.com/watch?v=aeppp3fM6ik"
"Intel CEO resigns after 3 years","WFAA","https://www.youtube.com/watch?v=aeppp3fM6ik"
"French Government on Brink of Collapse; SpaceX Valuation Takes Off | Bloomberg Daybreak: US Edition","Bloomberg Podcasts","https://www.youtube.com/watch?v=T-cpXBOVCLs"
"French Government on Brink of Collapse; SpaceX Valuation Takes Off | Bloomberg Daybreak: US Edition","Bloomberg Podcasts","https://www.youtube.com/watch?v=T-cpXBOVCLs"
"French Govt Turmoil; Intel CEO out; SpaceX value ~$350B | Horizons Middle East & Africa 3/12/2024","Bloomberg Television","https://www.youtube.com/watch?v=6jWEJXm9iQw"
"French Govt Turmoil; Intel CEO out; SpaceX value ~$350B | Horizons Middle East & Africa 3/12/2024","Bloomberg Television","https://www.youtube.com/watch?v=6jWEJXm9iQw"
"Intel CEO Pat Gelsinger retires, steps down from company's board amid rumors of a company split","KGW News","https://www.youtube.com/watch?v=QRs7NQwmrEA"
"Intel CEO Pat Gelsinger retires, steps down from company's board amid rumors of a company split","KGW News","https://www.youtube.com/watch?v=QRs7NQwmrEA"
"Intel's CEO Retires, Retailers Ready for Cyber Monday | Bloomberg Technology","Bloomberg Technology","https://www.youtube.com/watch?v=Bbu6fVjwYnc"
"Intel's CEO Retires, Retailers Ready for Cyber Monday | Bloomberg Technology","Bloomberg Technology","https://www.youtube.com/watch?v=Bbu6fVjwYnc"
"CEO who brought Intel to central Ohio retires","NBC4 Columbus","https://www.youtube.com/watch?v=EOrT8h5jx1o"
"CEO who brought Intel to central Ohio retires","NBC4 Columbus","https://www.youtube.com/watch?v=EOrT8h5jx1o"
"Intel faces massive shakeup","TheStreet","https://www.youtube.com/watch?v=FLOYQ4Ca1EM"
"Intel faces massive shakeup","TheStreet","https://www.youtube.com/watch?v=FLOYQ4Ca1EM"
"Intel CEO Gelsinger steps down from struggling chipmaker | REUTERS","Reuters","https://www.youtube.com/watch?v=tVCAAI1GUKA"
"Intel CEO Gelsinger steps down from struggling chipmaker | REUTERS","Reuters","https://www.youtube.com/watch?v=tVCAAI1GUKA"
